city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,engine_cc,mileage_kmpl,car_age,mileage_normalized,brand_popularity,price_per_km,age_group,high_mileage,multiple_owners
bangalore,manual,1,maruti,maruti wagon r,2012,vxi bs iv,329000.0,2012,petrol,76032,998,18.9,12,1.575,506751.9858898498,17407.40740740741,old,0,0
bangalore,manual,1,maruti,maruti ciaz,2018,alpha bsiv,666000.0,2018,petrol,113780,1462,21.56,6,3.5933333333333333,506751.9858898498,30890.53803339518,mid-age,1,0
bangalore,automatic,1,audi,audi a3,2019,35 tdi technology,2290000.0,2020,diesel,24000,1968,20.38,4,5.095,2360864.5161290322,112365.06378802749,mid-age,0,0
bangalore,manual,2,hyundai,hyundai venue,2020,sx opt diesel,1026000.0,2020,diesel,65812,1493,23.7,4,5.925,607984.020282729,43291.13924050633,mid-age,1,1
bangalore,automatic,1,skoda,skoda kushaq,2022,1.0 tsi style at anniversary edition bsvi,1700000.0,2022,petrol,10000,999,17.2,2,8.6,999269.2307692308,98837.20930232559,new,0,0
bangalore,manual,1,maruti,maruti baleno,2016,1.2 zeta,681000.0,2016,petrol,39959,1197,21.4,8,2.675,506751.9858898498,31822.429906542056,old,0,0
bangalore,automatic,1,hyundai,hyundai alcazar,2022,signature 7-seater at,1689999.9999999998,2022,petrol,10000,1999,14.2,2,7.1,607984.020282729,119014.08450704224,new,0,0
bangalore,manual,3,maruti,maruti alto k10,2016,vxi,318000.0,2017,petrol,65484,998,24.39,7,3.4842857142857144,506751.9858898498,13038.130381303812,mid-age,1,1
bangalore,manual,1,maruti,maruti baleno,2017,1.2 zeta,688000.0,2017,petrol,49174,1197,21.4,7,3.057142857142857,506751.9858898498,32149.532710280375,mid-age,0,0
bangalore,manual,1,volkswagen,volkswagen taigun,2022,1.0 tsi comfortline bsvi,1300000.0,2022,petrol,20000,999,20.08,2,10.04,704698.5815602837,64741.03585657371,new,0,0
bangalore,manual,1,hyundai,hyundai i10,2009,magna 1.2,265000.0,2009,petrol,50000,1197,20.36,15,1.3573333333333333,607984.020282729,13015.717092337918,old,0,0
bangalore,automatic,2,maruti,maruti swift dzire,2018,amt zxi plus bs iv,645000.0,2018,petrol,40000,1197,22.0,6,3.6666666666666665,506751.9858898498,29318.18181818182,mid-age,1,1
bangalore,automatic,1,hyundai,hyundai alcazar,2022,signature 7-seater at,2000000.0,2022,petrol,30000,1999,14.2,2,7.1,607984.020282729,140845.0704225352,new,0,0
bangalore,automatic,3,bmw,bmw 3 series,2007,330 ci coupe,900000.0,2007,petrol,50000,2497,10.9,17,0.6411764705882353,3330939.5604395606,82568.80733944954,old,0,1
bangalore,manual,1,maruti,maruti swift,2020,zxi,620000.0,2020,petrol,80000,1197,21.21,4,5.3025,506751.9858898498,29231.49457802923,mid-age,0,0
bangalore,manual,1,mg,mg astor,2022,sharp bsvi,1470000.0,2022,petrol,20000,1498,15.43,2,7.715,1869333.3333333333,95268.95657809463,new,0,0
bangalore,manual,1,hyundai,hyundai accent,2010,executive cng,220000.00000000003,2010,cng,70000,1495,13.2,14,0.9428571428571428,607984.020282729,16666.66666666667,old,0,0
bangalore,automatic,1,audi,audi a4,2014,2.0 tdi premium plus,1475000.0,2014,diesel,90000,1968,17.11,10,1.7109999999999999,2360864.5161290322,86206.89655172414,old,0,0
bangalore,manual,1,renault,renault kwid,2020,climber 1.0 mt opt,415000.00000000006,2020,petrol,40000,999,21.74,4,5.435,535356.2091503268,19089.236430542784,mid-age,1,0
bangalore,manual,1,honda,honda jazz,2016,1.2 v i vtec,610000.0,2016,petrol,63797,1199,18.7,8,2.3375,625329.2089728453,32620.320855614973,old,0,0
bangalore,manual,2,hyundai,hyundai grand i10,2018,1.2 kappa magna bsiv,560000.0,2018,petrol,60216,1197,18.9,6,3.15,607984.020282729,29629.62962962963,mid-age,0,1
bangalore,automatic,2,maruti,maruti alto k10,2015,vxi amt,425000.0,2015,petrol,10000,998,23.95,9,2.661111111111111,506751.9858898498,17745.302713987476,old,1,1
bangalore,manual,1,maruti,maruti baleno,2016,1.2 zeta,686000.0,2016,petrol,38153,1197,21.4,8,2.675,506751.9858898498,32056.07476635514,old,0,0
bangalore,manual,1,maruti,maruti swift,2015,vxi,517000.0,2015,petrol,76485,1197,22.38,9,2.4866666666666664,506751.9858898498,23100.983020554067,old,1,0
bangalore,manual,2,maruti,maruti wagon r,2015,vxi bs iv,385000.0,2015,petrol,40000,998,20.51,9,2.278888888888889,506751.9858898498,18771.331058020478,old,0,1
bangalore,manual,1,maruti,maruti baleno,2016,1.2 zeta,675000.0,2016,petrol,40623,1197,21.4,8,2.675,506751.9858898498,31542.05607476636,old,0,0
bangalore,automatic,2,mercedes-benz,mercedes-benz c-class,2018,c 220d avantgarde edition c,3300000.0,2018,diesel,18000,2143,19.27,6,3.2116666666666664,3530416.6666666665,171250.64867669955,mid-age,0,1
bangalore,manual,1,maruti,maruti swift,2014,vxi,499000.0,2014,petrol,88051,1197,22.38,10,2.238,506751.9858898498,22296.69347631814,old,1,0
bangalore,manual,1,maruti,maruti swift,2022,vxi,774000.0,2022,petrol,16522,1197,22.38,2,11.19,506751.9858898498,34584.45040214477,new,1,0
bangalore,manual,2,jeep,jeep compass,2019,2.0 limited 4x4,1475000.0,2019,diesel,70000,1956,16.3,5,3.2600000000000002,1925178.5714285714,90490.79754601227,mid-age,0,1
bangalore,manual,3,maruti,maruti wagon r,2008,lxi minor,240000.0,2008,petrol,80000,1061,18.9,16,1.18125,506751.9858898498,12698.4126984127,old,0,1
