city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,mileage_kmpl,engine_cc
bangalore,manual,1,honda,honda jazz,2018,1.2 vx i vtec,825000.0,2018,petrol,28000.0,18.7,1199
bangalore,manual,3,maruti,maruti wagon r,2008,lxi minor,250000.0,2008,petrol,40000.0,18.9,1061
bangalore,automatic,1,hyundai,hyundai venue,2020,sx plus turbo dct,1295000.0,2020,petrol,26000.0,18.15,998
bangalore,manual,1,maruti,maruti wagon r,2012,vxi bs iv,329000.0,2012,petrol,76032.0,18.9,998
bangalore,manual,1,maruti,maruti ciaz,2018,alpha bsiv,666000.0,2018,petrol,113780.0,21.56,1462
bangalore,manual,2,hyundai,hyundai venue,2020,sx opt diesel,1026000.0,2020,diesel,65812.0,23.7,1493
bangalore,automatic,1,skoda,skoda kushaq,2022,1.0 tsi style at anniversary edition bsvi,1700000.0,2022,petrol,10000.0,17.2,999
bangalore,manual,1,maruti,maruti baleno,2016,1.2 zeta,681000.0,2016,petrol,39959.0,21.4,1197
bangalore,automatic,1,hyundai,hyundai alcazar,2022,signature 7-seater at,1689999.9999999998,2022,petrol,10000.0,14.2,1999
bangalore,manual,3,maruti,maruti alto k10,2016,vxi,318000.0,2017,petrol,65484.0,24.39,998
bangalore,manual,1,maruti,maruti baleno,2017,1.2 zeta,688000.0,2017,petrol,49174.0,21.4,1197
bangalore,manual,1,volkswagen,volkswagen taigun,2022,1.0 tsi comfortline bsvi,1300000.0,2022,petrol,20000.0,20.08,999
bangalore,manual,1,hyundai,hyundai i10,2009,magna 1.2,265000.0,2009,petrol,50000.0,20.36,1197
bangalore,automatic,2,maruti,maruti swift dzire,2018,amt zxi plus bs iv,645000.0,2018,petrol,40000.0,22.0,1197
bangalore,automatic,3,bmw,bmw 3 series,2007,330 ci coupe,900000.0,2007,petrol,50000.0,10.9,2497
bangalore,manual,1,maruti,maruti swift,2020,zxi,620000.0,2020,petrol,80000.0,21.21,1197
bangalore,manual,1,mg,mg astor,2022,sharp bsvi,1470000.0,2022,petrol,20000.0,15.43,1498
bangalore,manual,1,hyundai,hyundai accent,2010,executive cng,220000.00000000003,2010,cng,70000.0,13.2,1495
bangalore,automatic,1,audi,audi a4,2014,2.0 tdi premium plus,1475000.0,2014,diesel,90000.0,17.11,1968
bangalore,manual,1,renault,renault kwid,2020,climber 1.0 mt opt,415000.00000000006,2020,petrol,40000.0,21.74,999
bangalore,manual,1,honda,honda jazz,2016,1.2 v i vtec,610000.0,2016,petrol,63797.0,18.7,1199
bangalore,manual,2,hyundai,hyundai grand i10,2018,1.2 kappa magna bsiv,560000.0,2018,petrol,60216.0,18.9,1197
bangalore,automatic,2,maruti,maruti alto k10,2015,vxi amt,425000.0,2015,petrol,10000.0,23.95,998
bangalore,manual,1,maruti,maruti baleno,2016,1.2 zeta,686000.0,2016,petrol,38153.0,21.4,1197
bangalore,manual,1,maruti,maruti swift,2015,vxi,517000.0,2015,petrol,76485.0,22.38,1197
bangalore,manual,2,maruti,maruti wagon r,2015,vxi bs iv,385000.0,2015,petrol,40000.0,20.51,998
bangalore,manual,1,maruti,maruti baleno,2016,1.2 zeta,675000.0,2016,petrol,40623.0,21.4,1197
bangalore,manual,1,maruti,maruti swift,2014,vxi,499000.0,2014,petrol,88051.0,22.38,1197
bangalore,manual,1,maruti,maruti swift,2022,vxi,774000.0,2022,petrol,16522.0,22.38,1197
bangalore,manual,2,jeep,jeep compass,2019,2.0 limited 4x4,1475000.0,2019,diesel,70000.0,16.3,1956
bangalore,manual,3,maruti,maruti wagon r,2008,lxi minor,240000.0,2008,petrol,80000.0,18.9,1061
bangalore,manual,1,hyundai,hyundai venue,2019,sx diesel bsiv,1025000.0,2019,diesel,50000.0,23.7,1396
bangalore,manual,1,tata,tata nexon,2023,xz plus luxs dt bsvi,1400000.0,2023,petrol,10000.0,17.33,1199
bangalore,manual,2,hyundai,hyundai eon,2013,d lite plus,285000.0,2013,petrol,57000.0,21.1,814
bangalore,manual,1,maruti,maruti baleno,2019,1.2 zeta,780000.0,2019,petrol,10000.0,21.4,1197
bangalore,manual,2,maruti,maruti swift,2012,vxi,475000.0,2012,petrol,50000.0,18.6,1197
bangalore,manual,1,mahindra,mahindra xuv300,2019,w4 diesel bsiv,750000.0,2019,diesel,120000.0,20.0,1497
bangalore,manual,1,hyundai,hyundai grand i10,2014,magna,555000.0,2015,petrol,35469.0,18.9,1197
bangalore,manual,2,honda,honda jazz,2017,1.2 v i vtec,607000.0,2017,petrol,40073.0,18.7,1199
bangalore,manual,2,hyundai,hyundai grand i10,2017,1.2 kappa sportz option,513999.99999999994,2017,petrol,65730.0,18.9,1197
bangalore,manual,2,maruti,maruti baleno,2005,lxi,250000.0,2005,petrol,120000.0,15.4,1590
bangalore,manual,2,maruti,maruti baleno,2016,1.2 zeta,705000.0,2016,petrol,36184.0,21.4,1197
bangalore,manual,1,maruti,maruti baleno,2016,1.2 zeta,653000.0,2016,petrol,69310.0,21.4,1197
bangalore,automatic,1,honda,honda city,2015,i vtec cvt vx,872000.0000000001,2015,petrol,55643.0,18.0,1497
bangalore,automatic,2,hyundai,hyundai grand i10,2017,1.2 kappa sportz option at,564000.0,2017,petrol,62803.0,18.9,1197
bangalore,manual,2,volkswagen,volkswagen polo,2011,diesel comfortline 1.2l,370000.0,2011,diesel,90000.0,22.07,1199
bangalore,manual,1,maruti,maruti swift,2015,vxi,550000.0,2015,petrol,68656.0,22.38,1197
bangalore,manual,3,honda,honda jazz,2016,1.2 v i vtec,517000.0,2016,petrol,77501.0,18.7,1199
bangalore,manual,1,maruti,maruti swift dzire,2016,lxi optional-o,620000.0,2016,petrol,40000.0,20.85,1197
bangalore,automatic,1,honda,honda city,2014,i vtec cvt sv,750000.0,2014,petrol,48325.0,18.0,1497
