owner_no,model_year,price,registered_year,kms_driven,mileage_kmpl,engine_cc,car_age,model_age,registration_lag,normalized_model_age,mileage_normalized,high_mileage,multiple_owners,brand_popularity,kms_per_year,city_bangalore,city_chennai,city_delhi,city_hyderabad,city_jaipur,city_kolkata,transmission_automatic,transmission_manual,fuel_type_cng,fuel_type_diesel,fuel_type_lpg,fuel_type_petrol,kms_High,kms_Low,kms_Moderate,kms_Unused,kms_Very_Low,brand_encoded,variant_name_encoded,model_encoded
1,2016,494000.00000000006,2016,23017.0,25.32,1198,8,8,0,0.8888888888888888,0.7112359550561798,0,0,889729.1666666666,2557.4444444444443,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,15,494000.00000000006,415062.5
2,2013,525000.0,2014,83000.0,21.27,1396,10,11,1,0.8333333333333334,0.5974719101123596,0,1,575329.531685678,7545.454545454545,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,9,505538.46153846156,564454.268292683
1,2018,550000.0,2018,62139.0,20.51,998,6,6,0,0.8571428571428571,0.576123595505618,0,0,503886.0239819005,8877.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,18,550000.0,345841.5201612903
1,2013,365000.0,2013,74000.0,19.2,1086,11,11,0,0.9166666666666666,0.5393258426966292,0,0,575329.531685678,6166.666666666667,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,9,365000.0,252413.40782122905
2,2016,420000.0,2016,26500.0,24.04,999,8,8,0,0.8888888888888888,0.6752808988764044,0,1,536132.6860841424,2944.4444444444443,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,26,368250.0,397993.28859060403
1,2022,1050000.0,2022,10000.0,17.0,1197,2,2,0,0.6666666666666666,0.4775280898876404,0,0,889729.1666666666,3333.333333333333,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,15,1055333.3333333333,1040216.2162162162
1,2013,394000.0,2013,38197.0,19.4,1198,11,11,0,0.9166666666666666,0.544943820224719,0,0,621019.765258216,3183.083333333333,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,8,305325.0,340000.0
2,2017,725000.0,2017,23000.0,19.56,1197,7,7,0,0.875,0.549438202247191,0,1,503886.0239819005,2875.0,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,18,777571.4285714285,643665.5172413794
1,2013,240000.0,2013,50000.0,20.92,998,11,11,0,0.9166666666666666,0.5876404494382023,0,0,503886.0239819005,4166.666666666667,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,18,268228.94886363635,308222.22222222225
1,2022,835000.0,2022,10000.0,19.03,999,2,2,0,0.6666666666666666,0.5345505617977528,0,0,536132.6860841424,3333.333333333333,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,26,825000.0,796137.9310344828
1,2019,695000.0,2019,19000.0,18.9,1197,5,5,0,0.8333333333333334,0.5308988764044943,0,0,575329.531685678,3166.6666666666665,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,9,560700.0,472567.5675675676
1,2020,1725000.0,2020,14000.0,16.5,1353,4,4,0,0.8,0.4634831460674157,0,0,1312102.3622047245,2800.0,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,13,1532714.2857142857,1382297.619047619
1,2014,330000.0,2014,29268.0,21.1,814,10,10,0,0.9090909090909092,0.5926966292134832,0,0,575329.531685678,2660.7272727272725,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,9,326090.9090909091,234271.42857142858
1,2019,990000.0,2019,20000.0,18.19,1197,5,5,0,0.8333333333333334,0.5109550561797753,0,0,639688.6446886447,3333.333333333333,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,30,820000.0,548393.9393939395
1,2018,750000.0,2018,30000.0,17.1,1496,6,6,0,0.8571428571428571,0.4803370786516854,0,0,874422.7642276423,4285.714285714285,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,29,750000.0,800647.0588235294
1,2018,755000.0,2018,64374.0,19.0,1199,6,6,0,0.8571428571428571,0.5337078651685393,0,0,621019.765258216,9196.285714285714,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,8,609571.4285714285,581642.8571428572
1,2021,1750000.0,2021,30000.0,17.41,1956,3,3,0,0.75,0.4890449438202247,0,0,1571566.0377358492,7500.0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,20,1667666.6666666667,1588088.2352941176
1,2010,271000.0,2010,43679.0,19.81,1086,14,14,0,0.9333333333333332,0.5564606741573033,0,0,575329.531685678,2911.9333333333334,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,9,264000.0,252413.40782122905
1,2018,1280000.0,2018,40000.0,14.8,1591,6,6,0,0.8571428571428571,0.4157303370786517,0,0,575329.531685678,5714.285714285715,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,9,1045571.4285714285,1016921.2121212122
1,2012,436000.00000000006,2012,40562.0,22.54,1396,12,12,0,0.9230769230769232,0.6331460674157303,0,0,575329.531685678,3120.153846153846,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,9,436000.00000000006,564454.268292683
1,2019,1250000.0,2019,20000.0,18.15,998,5,5,0,0.8333333333333334,0.5098314606741572,0,0,575329.531685678,3333.333333333333,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,9,1091833.3333333333,989975.0
1,2016,1350000.0,2016,58600.0,16.0,2179,8,8,0,0.8888888888888888,0.449438202247191,0,0,889729.1666666666,6511.111111111111,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,15,1297500.0,985120.0
1,2015,475000.0,2016,65017.0,23.1,998,8,9,1,0.8,0.648876404494382,0,0,503886.0239819005,7224.111111111111,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,18,507263.15789473685,440245.0331125828
2,2008,600000.0,2008,80000.0,13.2,1995,16,16,0,0.9411764705882352,0.3707865168539325,0,1,1205267.857142857,4705.882352941177,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,1,965000.0,1054952.380952381
1,2020,1625000.0,2020,20000.0,16.5,1353,4,4,0,0.8,0.4634831460674157,0,0,1312102.3622047245,4000.0,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,13,1532714.2857142857,1382297.619047619
1,2014,1650000.0,2014,36349.0,17.2,1968,10,10,0,0.9090909090909092,0.4831460674157303,0,0,775941.1764705882,3304.454545454545,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,27,841666.6666666666,611625.0
3,2009,249000.00000000003,2009,80000.0,20.36,1197,15,15,0,0.9375,0.5719101123595505,0,1,575329.531685678,5000.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,9,432584.6153846154,252413.40782122905
2,2014,630000.0,2014,83394.0,13.24,1598,10,10,0,0.9090909090909092,0.3719101123595505,0,1,536132.6860841424,7581.272727272727,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,26,630000.0,637742.8571428572
1,2017,385000.0,2017,52204.0,24.39,998,7,7,0,0.875,0.6851123595505618,0,0,503886.0239819005,6525.5,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,18,424566.34688346885,308222.22222222225
3,2012,300000.0,2012,110000.0,17.0,1197,12,12,0,0.9230769230769232,0.4775280898876404,0,1,575329.531685678,8461.538461538461,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,9,288666.6666666667,564454.268292683
2,2014,276000.0,2014,29813.0,22.05,796,10,10,0,0.9090909090909092,0.6193820224719101,0,1,503886.0239819005,2710.2727272727275,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,18,424566.34688346885,306477.1296296296
1,2018,500000.0,2018,30000.0,18.16,1196,6,6,0,0.8571428571428571,0.5101123595505618,0,0,538652.329749104,4285.714285714285,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,6,500000.0,282206.34920634923
1,2020,730000.0,2020,13345.0,20.89,1197,4,4,0,0.8,0.5867977528089887,0,0,503886.0239819005,2669.0,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,18,586800.0,536166.6666666666
1,2014,399000.0,2014,75000.0,18.9,1197,10,10,0,0.9090909090909092,0.5308988764044943,0,0,575329.531685678,6818.181818181818,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,9,428677.0833333333,472567.5675675676
2,2011,312000.0,2011,75523.0,20.36,1197,13,13,0,0.9285714285714286,0.5719101123595505,0,1,575329.531685678,5394.5,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,9,428677.0833333333,252413.40782122905
